vehicle_type,fault_code,vehicle_age_months,mileage_km,prior_services,technician_notes,replaced_part,root_cause
EV,EV0204,2,49098,6,Bike came in with power loss on acceleration. motor controller overheat suspected after inspection.,Motor controller,Motor controller overheat
ICE,P0172,38,28151,2,Bike came in with reduced range. fuel injector stuck open suspected after inspection.,Fuel injector,Fuel injector stuck open
ICE,P0480,36,13531,2,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
Scooter,P0562,52,57470,6,Bike came in with power loss on acceleration. wiring corrosion suspected after inspection.,Wiring harness,Wiring corrosion
Scooter,P0507,18,10689,0,Routine service flagged rough idling. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
Scooter,P0171,7,24026,3,"Customer reported power loss on acceleration. Checked fuel pump, found issue consistent with fuel pump weak.",Fuel pump,Fuel pump weak
ICE,P0563,60,25307,2,Routine service flagged unusual noise. Root cause traced to alternator fault.,Alternator,Alternator fault
ICE,P0130,3,43836,4,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0141,25,18717,2,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0440,14,44420,5,"Customer reported unusual noise. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
EV,EV0204,35,48284,5,"No prior complaints, code triggered during diagnostic scan. motor controller overheat confirmed on teardown.",Motor controller,Motor controller overheat
EV,EV0204,44,21752,1,"Customer reported battery draining fast. Checked motor controller, found issue consistent with motor controller overheat.",Motor controller,Motor controller overheat
Scooter,P0335,18,4837,0,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0205,26,58478,8,Routine service flagged reduced range. Root cause traced to motor phase wiring fault.,Motor phase wiring,Motor phase wiring fault
Scooter,P0087,48,38811,4,"No prior complaints, code triggered during diagnostic scan. fuel pressure regulator fault confirmed on teardown.",Fuel pressure regulator,Fuel pressure regulator fault
ICE,P0141,33,32843,3,"Customer reported reduced range. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0204,51,45096,5,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
EV,EV0101,34,16976,3,"Customer reported power loss on acceleration. Checked thermal sensor, found issue consistent with thermal sensor fault.",Thermal sensor,Thermal sensor fault
EV,P0A80,44,58485,8,Routine service flagged rough idling. Root cause traced to battery pack degraded.,Battery pack,Battery pack degraded
Scooter,P0230,11,30235,2,Routine service flagged unusual noise. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0120,56,41479,5,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0440,35,51528,7,Routine service flagged slow charging. Root cause traced to evap purge valve fault.,EVAP purge valve,EVAP purge valve fault
ICE,P0301,60,24288,3,Bike came in with unusual noise. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0171,47,32349,3,Bike came in with reduced range. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
EV,EV0310,36,11321,1,"No prior complaints, code triggered during diagnostic scan. onboard charger fault confirmed on teardown.",Onboard charger,Onboard charger fault
Scooter,P0705,46,20928,2,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0700,8,16746,1,"Customer reported unusual noise. Checked tcu, found issue consistent with transmission control fault.",TCU,Transmission control fault
